,precinct,prediction,observed,date,mae
13,69,74.20531181615749,64,2018-02-01,10.20531181615749
14,69,66.19560714632095,58,2018-03-01,8.195607146320953
15,69,60.34477513777716,58,2018-04-01,2.3447751377771624
16,69,57.73525415709066,62,2018-05-01,4.264745842909342
17,69,59.90783796650792,58,2018-06-01,1.9078379665079197
18,69,59.28926935484831,67,2018-07-01,7.710730645151692
19,69,62.85017501992321,62,2018-08-01,0.8501750199232134
20,69,63.67944757641918,65,2018-09-01,1.3205524235808213
21,69,63.48459938267836,73,2018-10-01,9.515400617321639
22,69,69.21278396698199,66,2018-11-01,3.2127839669819878
23,69,68.61938027742477,55,2018-12-01,13.619380277424767
0,18,229.65726806022025,180,2017-01-01,49.65726806022025
1,18,206.15265548446882,158,2017-02-01,48.15265548446882
2,18,190.88538631990943,200,2017-03-01,9.11461368009057
3,18,185.9539831658361,149,2017-04-01,36.95398316583609
4,18,161.1292504345999,204,2017-05-01,42.870749565400104
5,18,190.8085554085362,193,2017-06-01,2.1914445914638065
6,18,182.33012589869176,208,2017-07-01,25.66987410130824
7,18,203.5571518318995,208,2017-08-01,4.442848168100511
8,18,203.8061780339799,196,2017-09-01,7.806178033979904
9,18,202.00962285422372,235,2017-10-01,32.99037714577628
10,18,218.91324833368424,225,2017-11-01,6.086751666315763
11,18,219.25158385723466,236,2017-12-01,16.748416142765336
12,18,233.6632130318028,220,2018-01-01,13.663213031802798
13,18,225.3037666635616,147,2018-02-01,78.30376666356159
14,18,187.53068638738725,167,2018-03-01,20.53068638738725
15,18,176.91722867767805,200,2018-04-01,23.082771322321946
